"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Renkum";"2006";"60 tot 65 jaar";"1949";"930";"1019";"145";"76";"69";"1452";"732";"720";"145";"36";"109";"207";"86";"121";"0274"
"Renkum";"2006";"65 tot 70 jaar";"1819";"829";"990";"105";"39";"66";"1317";"671";"646";"224";"41";"183";"173";"78";"95";"0274"
"Renkum";"2006";"70 tot 75 jaar";"1659";"725";"934";"127";"42";"85";"1050";"584";"466";"344";"50";"294";"138";"49";"89";"0274"
"Renkum";"2006";"75 tot 80 jaar";"1379";"581";"798";"119";"42";"77";"709";"409";"300";"466";"100";"366";"85";"30";"55";"0274"
"Renkum";"2006";"80 tot 85 jaar";"1169";"418";"751";"122";"39";"83";"456";"264";"192";"543";"102";"441";"48";"13";"35";"0274"
"Renkum";"2006";"85 tot 90 jaar";"645";"188";"457";"63";"15";"48";"170";"111";"59";"368";"57";"311";"44";"5";"39";"0274"
"Renkum";"2006";"90 tot 95 jaar";"285";"70";"215";"25";"3";"22";"52";"34";"18";"200";"32";"168";"8";"1";"7";"0274"
"Renkum";"2006";"95 jaar of ouder";"72";"17";"55";"11";"1";"10";"2";"2";"-";"56";"13";"43";"3";"1";"2";"0274"
"Renswoude";"2006";"Totaal leeftijden";"4346";"2165";"2181";"1947";"1034";"913";"2067";"1030";"1037";"190";"35";"155";"142";"66";"76";"0339"
"Renswoude";"2006";"Jonger dan 5 jaar";"367";"184";"183";"367";"184";"183";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0339"
"Renswoude";"2006";"5 tot 10 jaar";"325";"162";"163";"325";"162";"163";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0339"
"Renswoude";"2006";"10 tot 15 jaar";"326";"167";"159";"326";"167";"159";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0339"
"Renswoude";"2006";"15 tot 20 jaar";"332";"168";"164";"331";"168";"163";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0339"
"Renswoude";"2006";"20 tot 25 jaar";"290";"147";"143";"245";"139";"106";"43";"8";"35";"-";"-";"-";"2";"-";"2";"0339"
"Renswoude";"2006";"25 tot 30 jaar";"249";"123";"126";"115";"68";"47";"133";"55";"78";"-";"-";"-";"1";"-";"1";"0339"
"Renswoude";"2006";"30 tot 35 jaar";"307";"152";"155";"86";"51";"35";"211";"97";"114";"-";"-";"-";"10";"4";"6";"0339"
"Renswoude";"2006";"35 tot 40 jaar";"358";"182";"176";"64";"38";"26";"275";"136";"139";"1";"-";"1";"18";"8";"10";"0339"
"Renswoude";"2006";"40 tot 45 jaar";"300";"148";"152";"26";"16";"10";"247";"117";"130";"3";"1";"2";"24";"14";"10";"0339"
"Renswoude";"2006";"45 tot 50 jaar";"301";"161";"140";"19";"15";"4";"259";"136";"123";"6";"1";"5";"17";"9";"8";"0339"
"Renswoude";"2006";"50 tot 55 jaar";"249";"132";"117";"14";"7";"7";"202";"113";"89";"10";"1";"9";"23";"11";"12";"0339"
"Renswoude";"2006";"55 tot 60 jaar";"302";"140";"162";"8";"6";"2";"255";"121";"134";"12";"1";"11";"27";"12";"15";"0339"
"Renswoude";"2006";"60 tot 65 jaar";"227";"107";"120";"3";"1";"2";"192";"99";"93";"23";"2";"21";"9";"5";"4";"0339"
"Renswoude";"2006";"65 tot 70 jaar";"140";"76";"64";"6";"5";"1";"109";"65";"44";"22";"4";"18";"3";"2";"1";"0339"
"Renswoude";"2006";"70 tot 75 jaar";"108";"56";"52";"6";"4";"2";"78";"45";"33";"19";"6";"13";"5";"1";"4";"0339"
"Renswoude";"2006";"75 tot 80 jaar";"86";"33";"53";"3";"-";"3";"40";"24";"16";"40";"9";"31";"3";"-";"3";"0339"
"Renswoude";"2006";"80 tot 85 jaar";"53";"18";"35";"1";"1";"-";"17";"10";"7";"35";"7";"28";"-";"-";"-";"0339"
"Renswoude";"2006";"85 tot 90 jaar";"20";"7";"13";"1";"1";"-";"5";"4";"1";"14";"2";"12";"-";"-";"-";"0339"
"Renswoude";"2006";"90 tot 95 jaar";"4";"1";"3";"1";"1";"-";"-";"-";"-";"3";"-";"3";"-";"-";"-";"0339"
"Renswoude";"2006";"95 jaar of ouder";"2";"1";"1";"-";"-";"-";"-";"-";"-";"2";"1";"1";"-";"-";"-";"0339"
"Reusel-De Mierden";"2006";"Totaal leeftijden";"12314";"6260";"6054";"5338";"2931";"2407";"6020";"3009";"3011";"585";"134";"451";"371";"186";"185";"1667"
"Reusel-De Mierden";"2006";"Jonger dan 5 jaar";"635";"303";"332";"635";"303";"332";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1667"
"Reusel-De Mierden";"2006";"5 tot 10 jaar";"684";"335";"349";"684";"335";"349";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1667"
"Reusel-De Mierden";"2006";"10 tot 15 jaar";"847";"409";"438";"847";"409";"438";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1667"
"Reusel-De Mierden";"2006";"15 tot 20 jaar";"960";"498";"462";"960";"498";"462";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1667"
"Reusel-De Mierden";"2006";"20 tot 25 jaar";"814";"437";"377";"796";"434";"362";"17";"3";"14";"-";"-";"-";"1";"-";"1";"1667"
"Reusel-De Mierden";"2006";"25 tot 30 jaar";"699";"400";"299";"559";"353";"206";"136";"46";"90";"-";"-";"-";"4";"1";"3";"1667"
"Reusel-De Mierden";"2006";"30 tot 35 jaar";"652";"326";"326";"286";"189";"97";"348";"133";"215";"2";"-";"2";"16";"4";"12";"1667"
"Reusel-De Mierden";"2006";"35 tot 40 jaar";"789";"414";"375";"162";"118";"44";"592";"279";"313";"-";"-";"-";"35";"17";"18";"1667"
"Reusel-De Mierden";"2006";"40 tot 45 jaar";"1027";"521";"506";"127";"96";"31";"824";"389";"435";"5";"1";"4";"71";"35";"36";"1667"
"Reusel-De Mierden";"2006";"45 tot 50 jaar";"1119";"561";"558";"84";"59";"25";"941";"460";"481";"19";"3";"16";"75";"39";"36";"1667"
"Reusel-De Mierden";"2006";"50 tot 55 jaar";"1056";"565";"491";"49";"39";"10";"924";"489";"435";"21";"9";"12";"62";"28";"34";"1667"
"Reusel-De Mierden";"2006";"55 tot 60 jaar";"874";"470";"404";"28";"25";"3";"765";"402";"363";"31";"14";"17";"50";"29";"21";"1667"
