"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006";;;;;;;;;;;
Onderwerpen;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Lokalisering van de postcode;;
Onderwerpen;Totaal allochtonen;Westerse allochtonen;Niet-westerse allochtonen;Totaal particuliere huishoudens;Eenpersoonshuishoudens;Meerpersoonshuishoudens zonder kinderen;Meerpersoonshuishoudens met kinderen;Gemiddelde huishoudensgrootte;Gemeentenaam;;totaalpers
Postcodes op 1 januari;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;naam;;
7122 Aalten;990;615;375;3050;835;975;1235;2.54;Aalten;;7747
7123 Aalten;130;105;25;540;90;145;300;2.96;Aalten;;1598.4
7126 Aalten;120;100;15;615;185;185;255;2.41;Aalten;;1482.15
7131 Groenlo;885;595;285;4125;1035;1535;1555;2.44;Groenlo;;10065
7132 Groenlo;145;100;40;815;115;230;475;2.99;Groenlo;;2436.85
7134 Groenlo;20;10;5;350;65;75;205;3.21;Groenlo;;1123.5
7135 Groenlo;105;50;55;445;80;120;245;2.97;Groenlo;;1321.65
7136 Groenlo;55;45;15;770;145;235;385;2.85;Groenlo;;2194.5
7137 Groenlo;60;55;10;525;80;160;285;2.95;Groenlo;;1548.75
7141 Groenlo;1070;735;340;3905;1090;1365;1445;2.39;Groenlo;;9332.95
7142 Groenlo;30;35;0;160;30;45;85;2.99;Groenlo;;478.4
7151 Berkelland;730;525;205;3125;890;1080;1155;2.36;Berkelland;;7375
7152 Berkelland;300;230;70;1415;250;470;690;2.77;Berkelland;;3919.55
7156 Berkelland;85;75;10;1040;205;275;555;2.91;Berkelland;;3026.4
7157 Berkelland;195;115;80;470;75;170;220;2.8;Berkelland;;1316
7161 Berkelland;770;540;225;4035;1025;1490;1525;2.41;Berkelland;;9724.35
7165 Berkelland;60;60;0;365;65;110;200;3.05;Berkelland;;1113.25
7201 Zutphen;695;470;225;2915;1655;825;430;1.67;Zutphen;;4868.05
7202 Zutphen;235;35;200;270;95;65;105;2.33;Zutphen;;629.1
7203 Zutphen;735;410;325;2020;660;680;685;2.21;Zutphen;;4464.2
7204 Zutphen;2495;1025;1470;4665;1885;1305;1475;2.08;Zutphen;;9703.2
7205 Zutphen;255;170;80;970;240;320;410;2.49;Zutphen;;2415.3
7206 Zutphen;1135;745;390;3030;875;920;1240;2.38;Zutphen;;7211.4
7207 Zutphen;850;525;325;2745;470;815;1455;2.78;Zutphen;;7631.1
7211 Lochem;375;275;100;1735;450;710;570;2.32;Lochem;;4025.2
7213 Lochem;290;235;55;1605;440;640;525;2.3;Lochem;;3691.5
7214 Lochem;175;140;40;770;165;330;275;2.44;Lochem;;1878.8
7215 Lochem;35;30;5;170;35;70;65;2.54;Lochem;;431.8
7216 Lochem;15;10;5;100;15;45;40;2.85;Lochem;;285
7217 Lochem;60;55;5;620;125;230;265;2.71;Lochem;;1680.2
7218 Lochem;50;50;5;485;135;195;160;2.39;Lochem;;1159.15
7221 Bronckhorst;130;105;25;975;245;340;395;2.46;Bronckhorst;;2398.5
7223 Bronckhorst;80;55;20;430;75;145;215;2.82;Bronckhorst;;1212.6
7224 Bronckhorst;5;5;5;35;5;10;15;2.81;Bronckhorst;;98.35
7225 Bronckhorst;5;10;0;100;15;30;50;2.87;Bronckhorst;;287
7226 Bronckhorst;20;15;5;70;15;25;25;2.51;Bronckhorst;;175.7
7227 Bronckhorst;25;20;5;330;60;115;155;2.79;Bronckhorst;;920.7
7231 Zutphen;495;400;95;2150;500;850;800;2.42;Zutphen;;5203
7232 Zutphen;300;225;75;1360;245;420;700;2.73;Zutphen;;3712.8
7233 Bronckhorst;20;15;5;120;20;35;60;2.89;Bronckhorst;;346.8
7234 Bronckhorst;30;25;10;245;50;90;100;2.61;Bronckhorst;;639.45
7241 Lochem;675;480;195;3340;1060;1140;1145;2.29;Lochem;;7648.6
7242 Lochem;1065;390;675;2330;535;850;950;2.45;Lochem;;5708.5
7244 Lochem;100;70;35;700;150;275;270;2.59;Lochem;;1813
7245 Lochem;115;100;15;1490;340;525;625;2.63;Lochem;;3918.7
7251 Bronckhorst;380;305;80;3015;760;1115;1140;2.45;Bronckhorst;;7386.75
7255 Bronckhorst;280;230;50;2705;655;905;1145;2.52;Bronckhorst;;6816.6
7256 Bronckhorst;50;40;10;575;95;210;270;2.68;Bronckhorst;;1541
7261 Berkelland;405;275;130;3115;710;1195;1215;2.5;Berkelland;;7787.5
7263 Groenlo;35;25;5;310;45;110;150;2.76;Groenlo;;855.6
7271 Berkelland;640;365;275;3150;845;1105;1200;2.41;Berkelland;;7591.5
7273 Berkelland;30;25;5;275;60;100;115;2.61;Berkelland;;717.75
7274 Berkelland;55;40;15;480;85;175;220;2.77;Berkelland;;1329.6
7275 Berkelland;30;25;5;270;55;100;105;2.62;Berkelland;;707.4
7311 Apeldoorn;1430;885;545;5125;2675;1575;870;1.73;Apeldoorn;;8866.25
7312 Apeldoorn;1965;865;1100;4790;1690;1515;1585;2.18;Apeldoorn;;10442.2
7313 Apeldoorn;295;235;60;930;205;440;290;2.37;Apeldoorn;;2204.1
7314 Apeldoorn;820;635;185;3310;1380;1035;895;2.05;Apeldoorn;;6785.5
7315 Apeldoorn;590;385;205;2285;870;740;670;2.14;Apeldoorn;;4889.9
7316 Apeldoorn;915;510;405;2825;1070;960;800;2.11;Apeldoorn;;5960.75
7317 Apeldoorn;15;15;5;105;25;35;45;2.45;Apeldoorn;;257.25
7321 Apeldoorn;585;390;195;2115;460;695;950;2.59;Apeldoorn;;5477.85
7322 Apeldoorn;1780;840;940;4145;1190;1410;1550;2.35;Apeldoorn;;9740.75
7323 Apeldoorn;2920;940;1980;4045;1395;1180;1475;2.24;Apeldoorn;;9060.8
7325 Apeldoorn;1595;855;745;4135;880;1230;2025;2.66;Apeldoorn;;10999.1
7326 Apeldoorn;1525;960;570;4190;880;1320;1985;2.63;Apeldoorn;;11019.7
7327 Apeldoorn;885;525;355;2405;480;800;1120;2.62;Apeldoorn;;6301.1
7328 Apeldoorn;1330;750;585;3340;1075;995;1275;2.3;Apeldoorn;;7682
7329 Apeldoorn;440;275;165;1250;490;360;400;2.1;Apeldoorn;;2625
7331 Apeldoorn;2125;920;1210;5445;2230;1540;1675;2.07;Apeldoorn;;11271.15
7332 Apeldoorn;45;25;20;130;30;40;65;2.56;Apeldoorn;;332.8
7333 Apeldoorn;1300;555;740;3030;1065;970;995;2.17;Apeldoorn;;6575.1
7334 Apeldoorn;220;125;90;830;215;285;330;2.42;Apeldoorn;;2008.6
7335 Apeldoorn;835;380;450;2460;740;730;995;2.38;Apeldoorn;;5854.8
7336 Apeldoorn;15;10;5;100;35;30;35;2.31;Apeldoorn;;231
7339 Apeldoorn;550;450;95;2485;510;980;995;2.5;Apeldoorn;;6212.5
7341 Apeldoorn;45;35;15;330;65;90;175;3.04;Apeldoorn;;1003.2
7345 Apeldoorn;125;115;10;900;230;330;340;2.48;Apeldoorn;;2232
7346 Apeldoorn;25;25;5;135;60;50;25;1.9;Apeldoorn;;256.5
7348 Apeldoorn;10;10;5;50;20;20;15;2.18;Apeldoorn;;109
7351 Apeldoorn;155;100;50;645;210;220;220;2.29;Apeldoorn;;1477.05
7352 Ede;10;5;0;25;5;10;10;2.48;Ede;;62
7361 Apeldoorn;335;245;95;1720;640;550;530;2.24;Apeldoorn;;3852.8
7364 Apeldoorn;50;45;5;450;95;145;205;2.76;Apeldoorn;;1242
7371 Apeldoorn;145;120;30;1315;365;495;460;2.36;Apeldoorn;;3103.4
7381 Apeldoorn;50;45;10;570;130;170;275;2.79;Apeldoorn;;1590.3
7382 Voorst;30;30;0;545;100;195;250;2.76;Voorst;;1504.2
7383 Voorst;140;110;35;1010;255;400;355;2.43;Voorst;;2454.3
7384 Voorst;135;110;30;995;195;325;475;2.74;Voorst;;2726.3
7391 Voorst;1235;790;445;4880;1290;1690;1895;2.44;Voorst;;11907.2
7395 Voorst;30;20;10;270;75;85;115;2.51;Voorst;;677.7
7396 Voorst;115;85;30;905;175;315;415;2.68;Voorst;;2425.4
7397 Voorst;20;20;5;250;45;70;125;3;Voorst;;750
7399 Brummen;35;35;5;245;35;90;125;2.85;Brummen;;698.25
7411 Deventer;1230;775;455;4310;2440;1210;660;1.65;Deventer;;7111.5
7412 Deventer;2235;915;1325;5840;2475;1760;1605;2;Deventer;;11680
7413 Deventer;2300;530;1780;3445;1505;860;1075;2.07;Deventer;;7131.15
7414 Deventer;1155;590;565;2460;935;830;695;2.08;Deventer;;5116.8
7415 Deventer;2895;1300;1595;5340;2620;1455;1255;1.84;Deventer;;9825.6
7416 Deventer;1420;370;1050;1855;995;395;470;1.86;Deventer;;3450.3
7417 Deventer;3110;535;2575;2760;1485;580;695;1.91;Deventer;;5271.6
7418 Deventer;80;40;35;285;80;95;110;2.39;Deventer;;681.15
7419 Deventer;180;135;55;965;220;355;395;2.44;Deventer;;2354.6
7421 Deventer;755;470;285;2150;385;645;1120;2.74;Deventer;;5891
7422 Deventer;375;235;135;1110;315;345;455;2.42;Deventer;;2686.2
7423 Deventer;1365;655;705;2490;565;730;1195;2.63;Deventer;;6548.7
7424 Deventer;700;250;445;1180;200;355;625;2.75;Deventer;;3245
7425 Deventer;830;475;355;1985;255;565;1170;2.96;Deventer;;5875.6
7426 Deventer;0;0;0;10;5;0;0;2.11;Deventer;;21.1
7427 Deventer;5;5;0;35;5;15;20;3.19;Deventer;;111.65
7428 Deventer;5;0;0;60;15;25;25;2.53;Deventer;;151.8
7429 Deventer;70;60;15;460;140;205;120;2.16;Deventer;;993.6
7431 Deventer;435;355;80;1850;435;715;695;2.49;Deventer;;4606.5
7433 Deventer;905;405;495;2295;805;720;765;2.29;Deventer;;5255.55
7434 Deventer;25;25;5;445;80;120;245;3.09;Deventer;;1375.05
7435 Deventer;15;10;0;140;30;50;65;2.56;Deventer;;358.4
7437 Deventer;265;210;50;2110;475;790;840;2.49;Deventer;;5253.9
7439 Voorst;10;10;0;115;20;50;50;2.59;Voorst;;297.85
7441 Hellendoorn;190;155;35;2005;495;760;740;2.44;Hellendoorn;;4892.2
7442 Hellendoorn;1020;715;305;4495;1185;1510;1800;2.42;Hellendoorn;;10877.9
7443 Hellendoorn;585;390;200;3390;730;1030;1635;2.7;Hellendoorn;;9153
7447 Hellendoorn;235;170;70;2255;510;790;955;2.64;Hellendoorn;;5953.2
7448 Hellendoorn;35;25;10;755;150;235;375;2.87;Hellendoorn;;2166.85
7451 Rijssen-Holten;455;335;125;3475;825;1265;1385;2.52;Rijssen-Holten;;8757
7461 Rijssen-Holten;590;300;285;3455;1025;1055;1375;2.57;Rijssen-Holten;;8879.35
7462 Rijssen-Holten;1155;365;785;4945;925;1330;2690;3.05;Rijssen-Holten;;15082.25
7463 Rijssen-Holten;240;45;190;970;85;230;660;3.48;Rijssen-Holten;;3375.6
7466 Wierden;15;15;0;95;5;30;60;3.56;Wierden;;338.2
7467 Wierden;10;10;0;120;15;50;55;2.82;Wierden;;338.4
7468 Wierden;210;180;30;2500;505;745;1250;2.83;Wierden;;7075
7471 Hof van Twente;1445;810;640;5205;1505;1775;1920;2.34;Hof van Twente;;12179.7
7472 Hof van Twente;0;0;0;15;5;0;10;3.06;Hof van Twente;;45.9
7475 Hof van Twente;605;365;240;2775;675;915;1195;2.62;Hof van Twente;;7270.5
7478 Hof van Twente;130;105;25;1085;255;410;415;2.54;Hof van Twente;;2755.9
7481 Haaksbergen;1200;870;330;4455;1330;1595;1530;2.33;Haaksbergen;;10380.15
7482 Haaksbergen;1430;795;635;4180;800;1420;1960;2.66;Haaksbergen;;11118.8
7483 Haaksbergen;240;140;100;840;95;230;515;3.07;Haaksbergen;;2578.8
7491 Hof van Twente;570;475;95;3005;920;1070;1020;2.31;Hof van Twente;;6941.55
7495 Hof van Twente;75;65;10;660;120;210;330;2.92;Hof van Twente;;1927.2
7496 Hof van Twente;90;65;25;740;160;195;380;2.84;Hof van Twente;;2101.6
7497 Hof van Twente;35;25;10;480;90;125;265;3.05;Hof van Twente;;1464
7511 Enschede;2320;1155;1165;5840;4155;1280;400;1.39;Enschede;;8117.6
7512 Enschede;1585;800;785;3175;1535;945;700;1.84;Enschede;;5842
7513 Enschede;1405;790;615;2770;1520;755;490;1.72;Enschede;;4764.4
7514 Enschede;1100;540;560;2135;1170;515;455;1.81;Enschede;;3864.35
7521 Enschede;2530;1245;1280;5015;2400;1395;1225;1.9;Enschede;;9528.5
7522 Enschede;1490;895;595;4250;2785;885;585;1.58;Enschede;;6715
7523 Enschede;3580;1180;2395;5240;2380;1475;1385;1.98;Enschede;;10375.2
7524 Enschede;290;245;45;1085;280;420;390;2.38;Enschede;;2582.3
7525 Enschede;35;35;0;135;25;50;60;2.79;Enschede;;376.65
7531 Enschede;1680;1070;610;3895;1270;1305;1320;2.2;Enschede;;8569
7532 Enschede;815;685;130;2095;605;610;880;2.41;Enschede;;5048.95
7533 Enschede;1405;615;795;2315;1025;565;730;2.05;Enschede;;4745.75
7534 Enschede;2470;1480;990;4705;1120;1475;2110;2.5;Enschede;;11762.5
7535 Enschede;500;430;75;1585;405;620;555;2.38;Enschede;;3772.3
7536 Enschede;15;10;0;30;10;10;10;2.43;Enschede;;72.9
7541 Enschede;715;350;365;1445;510;415;520;2.16;Enschede;;3121.2
7542 Enschede;3030;1430;1600;4625;1340;1420;1865;2.4;Enschede;;11100
7543 Enschede;2500;910;1590;3545;1500;945;1095;2.07;Enschede;;7338.15
7544 Enschede;7280;2005;5280;7530;2850;2130;2550;2.21;Enschede;;16641.3
7545 Enschede;4135;1940;2200;7235;2945;1980;2305;2.1;Enschede;;15193.5
7546 Enschede;1775;1005;770;3495;745;1065;1690;2.64;Enschede;;9226.8
7547 Enschede;75;65;10;265;95;85;90;2.36;Enschede;;625.4
7548 Enschede;275;230;40;1280;315;510;450;2.4;Enschede;;3072
7551 Hengelo;570;345;230;2005;1025;645;335;1.76;Hengelo;;3528.8
7552 Hengelo;3185;1390;1795;5715;2400;1780;1530;2.03;Hengelo;;11601.45
7553 Hengelo;1965;1030;940;4845;1935;1455;1460;2.05;Hengelo;;9932.25
7554 Hengelo;75;60;15;485;95;145;245;2.97;Hengelo;;1440.45
7555 Hengelo;1380;860;525;4335;1585;1450;1305;2.15;Hengelo;;9320.25
7556 Hengelo;2930;1265;1660;5620;2180;1660;1780;2.13;Hengelo;;11970.6
7557 Hengelo;2615;930;1685;4860;2025;1460;1370;2.03;Hengelo;;9865.8
7558 Hengelo;2650;1430;1220;5225;1240;1605;2375;2.57;Hengelo;;13428.25
7559 Hengelo;1195;690;505;3135;450;810;1875;3.01;Hengelo;;9436.35
7561 Dinkelland;50;35;15;685;140;200;340;2.79;Dinkelland;;1911.15
7562 Oldenzaal;5;5;0;75;15;25;40;3;Oldenzaal;;225
7571 Oldenzaal;370;240;130;1420;840;405;180;1.61;Oldenzaal;;2286.2
7572 Oldenzaal;835;490;345;2435;910;730;800;2.17;Oldenzaal;;5283.95
7573 Oldenzaal;315;260;55;1465;495;545;430;2.2;Oldenzaal;;3223
7574 Oldenzaal;805;305;500;1715;510;630;570;2.24;Oldenzaal;;3841.6
7575 Oldenzaal;15;10;5;110;25;40;45;2.53;Oldenzaal;;278.3
7576 Oldenzaal;1405;680;720;2530;485;1025;1025;2.51;Oldenzaal;;6350.3
7577 Oldenzaal;885;620;260;3230;475;965;1785;2.88;Oldenzaal;;9302.4
7581 Losser;1190;975;215;2980;795;1100;1080;2.35;Losser;;7003
7582 Losser;780;665;115;2230;455;785;995;2.6;Losser;;5798
7585 Losser;110;100;15;195;35;80;85;2.67;Losser;;520.65
7586 Losser;870;780;90;1710;370;590;745;2.57;Losser;;4394.7
7587 Losser;250;225;20;1095;210;325;560;2.92;Losser;;3197.4
7588 Losser;60;60;0;315;50;75;185;3.39;Losser;;1067.85
7591 Dinkelland;1210;1015;195;3700;930;1205;1575;2.58;Dinkelland;;9546
7595 Dinkelland;105;90;15;1085;225;280;575;2.81;Dinkelland;;3048.85
7596 Dinkelland;100;80;20;785;140;210;435;3.01;Dinkelland;;2362.85
7597 Dinkelland;25;25;5;550;105;130;310;3.08;Dinkelland;;1694
7601 Almelo;1550;610;940;3005;1020;905;1075;2.21;Almelo;;6641.05
7602 Almelo;845;480;360;2420;945;765;710;2.11;Almelo;;5106.2
7603 Almelo;1080;565;510;2425;815;690;920;2.28;Almelo;;5529
7604 Almelo;2510;625;1885;2790;975;855;955;2.25;Almelo;;6277.5
7605 Almelo;1240;290;950;1380;435;360;590;2.33;Almelo;;3215.4
7606 Almelo;2735;790;1945;3315;1215;925;1170;2.18;Almelo;;7226.7
7607 Almelo;1290;860;425;4200;1975;1365;860;1.84;Almelo;;7728
7608 Almelo;2460;1290;1170;4645;1130;1565;1950;2.5;Almelo;;11612.5
7609 Almelo;2775;1420;1355;5310;1090;1510;2710;2.72;Almelo;;14443.2
7611 Almelo;110;100;10;590;95;230;260;2.69;Almelo;;1587.1
7614 Tubbergen;5;0;0;100;15;35;55;2.98;Tubbergen;;298
7615 Tubbergen;55;55;5;480;75;135;270;3.09;Tubbergen;;1483.2
7621 Borne;950;500;450;2595;580;900;1120;2.55;Borne;;6617.25
7622 Borne;890;545;345;3450;1105;1240;1100;2.22;Borne;;7659
7623 Borne;315;255;60;1560;290;480;790;2.78;Borne;;4336.8
7625 Borne;70;60;15;475;95;150;230;2.8;Borne;;1330
7626 Borne;15;10;0;150;15;40;90;3.32;Borne;;498
7627 Almelo;45;40;10;630;135;185;310;2.85;Almelo;;1795.5
7631 Dinkelland;265;210;55;1695;380;610;700;2.56;Dinkelland;;4339.2
7634 Dinkelland;35;35;0;230;35;60;135;3.19;Dinkelland;;733.7
7635 Dinkelland;85;80;0;320;50;85;185;3.25;Dinkelland;;1040
7636 Dinkelland;20;15;5;175;30;45;100;3.32;Dinkelland;;581
7637 Dinkelland;25;20;0;110;25;35;55;2.98;Dinkelland;;327.8
7638 Dinkelland;10;5;0;55;10;10;35;3.84;Dinkelland;;211.2
7641 Wierden;730;490;240;3190;625;1025;1535;2.71;Wierden;;8644.9
7642 Wierden;505;400;105;2370;570;855;950;2.51;Wierden;;5948.7
7645 Wierden;135;120;10;405;145;80;180;2.76;Wierden;;1117.8
7651 Tubbergen;350;260;85;1965;475;585;905;2.69;Tubbergen;;5285.85
7661 Tubbergen;30;30;5;315;70;80;160;2.81;Tubbergen;;885.15
7662 Tubbergen;10;15;0;65;15;15;35;3.28;Tubbergen;;213.2
7663 Tubbergen;15;15;0;120;25;25;70;3.29;Tubbergen;;394.8
7664 Tubbergen;50;50;0;210;35;60;120;3.02;Tubbergen;;634.2
7665 Tubbergen;90;70;20;1150;200;310;645;3.02;Tubbergen;;3473
7666 Tubbergen;30;25;5;270;30;60;175;3.36;Tubbergen;;907.2
7667 Tubbergen;30;25;0;405;90;95;220;2.92;Tubbergen;;1182.6
7668 Tubbergen;5;5;0;45;20;10;20;2.79;Tubbergen;;125.55
7671 Twenterand;640;440;195;4330;965;1335;2040;2.71;Twenterand;;11734.3
7672 Twenterand;55;40;20;485;45;125;320;3.2;Twenterand;;1552
7675 Twenterand;10;5;0;55;10;20;25;2.85;Twenterand;;156.75
7676 Twenterand;225;175;45;1710;355;500;850;2.75;Twenterand;;4702.5
7678 Tubbergen;150;120;30;1405;235;410;765;3.03;Tubbergen;;4257.15
7679 Tubbergen;70;60;10;420;75;100;240;3.1;Tubbergen;;1302
7681 Twenterand;355;275;80;3505;775;1090;1640;2.64;Twenterand;;9253.2
7683 Twenterand;120;90;30;1980;365;585;1030;2.9;Twenterand;;5742
7685 Ommen;10;15;0;340;60;100;180;2.98;Ommen;;1013.2
7687 Hellendoorn;35;30;0;415;85;115;215;2.76;Hellendoorn;;1145.4
7688 Hellendoorn;20;20;5;440;75;105;260;3.23;Hellendoorn;;1421.2
7691 Hardenberg;110;85;25;1115;205;315;605;3.13;Hardenberg;;3489.95
7692 Hardenberg;15;10;0;260;50;60;150;3.33;Hardenberg;;865.8
7693 Hardenberg;70;65;0;465;80;120;265;3.03;Hardenberg;;1408.95
7694 Hardenberg;90;85;5;530;85;170;270;2.79;Hardenberg;;1478.7
7695 Hardenberg;50;50;0;390;65;120;205;2.99;Hardenberg;;1166.1
7696 Hardenberg;25;20;5;110;20;45;50;2.74;Hardenberg;;301.4
7701 Hardenberg;565;335;225;4325;1070;1395;1870;2.54;Hardenberg;;10985.5
7702 Hardenberg;40;20;20;280;50;85;150;2.82;Hardenberg;;789.6
7705 De Wolden;5;5;5;125;15;35;70;2.96;De Wolden;;370
7707 Hardenberg;200;120;80;1405;300;520;590;2.59;Hardenberg;;3638.95
7711 Dalfsen;315;210;110;3165;690;1055;1425;2.66;Dalfsen;;8418.9
7715 Staphorst;15;15;0;280;45;70;165;3.51;Staphorst;;982.8
7721 Dalfsen;330;200;135;2550;635;880;1040;2.52;Dalfsen;;6426
7722 Dalfsen;215;170;45;2490;485;785;1225;2.86;Dalfsen;;7121.4
7731 Ommen;715;440;270;4740;1340;1615;1785;2.43;Ommen;;11518.2
7734 Ommen;15;10;5;155;35;60;65;2.51;Ommen;;389.05
7735 Ommen;15;15;0;130;20;35;75;3.1;Ommen;;403
7736 Ommen;5;5;5;75;15;20;35;3.18;Ommen;;238.5
7737 Ommen;25;25;5;235;70;85;85;2.35;Ommen;;552.25
7738 Ommen;20;10;10;210;40;55;115;3.18;Ommen;;667.8
7739 Ommen;5;5;0;150;20;50;75;2.95;Ommen;;442.5
7741 Coevorden;975;665;310;4285;1420;1400;1465;2.23;Coevorden;;9555.55
7742 Coevorden;515;375;140;2385;555;815;1020;2.48;Coevorden;;5914.8
7751 Coevorden;220;175;45;1665;385;615;665;2.49;Coevorden;;4145.85
7753 Coevorden;20;15;5;280;75;95;110;2.43;Coevorden;;680.4
7754 Coevorden;10;5;5;135;25;50;55;2.61;Coevorden;;352.35
7755 Coevorden;10;10;5;130;20;50;65;2.7;Coevorden;;351
7756 Coevorden;20;20;5;95;20;35;45;2.81;Coevorden;;266.95
7761 Emmen;325;270;60;1830;460;640;730;2.44;Emmen;;4465.2
7764 Emmen;45;40;0;200;35;80;85;2.42;Emmen;;484
7765 Emmen;120;110;10;615;135;195;290;2.56;Emmen;;1574.4
7766 Emmen;150;130;20;510;115;150;240;2.63;Emmen;;1341.3
7771 Hardenberg;455;260;200;2025;545;755;725;2.41;Hardenberg;;4880.25
7772 Hardenberg;750;520;230;4305;1250;1240;1815;2.55;Hardenberg;;10977.75
7773 Hardenberg;90;65;25;490;50;170;275;3.07;Hardenberg;;1504.3
7775 Hardenberg;80;65;15;715;135;215;365;2.89;Hardenberg;;2066.35
7776 Hardenberg;115;85;30;1145;285;360;500;2.58;Hardenberg;;2954.1
7777 Hardenberg;30;25;5;335;45;100;190;3.1;Hardenberg;;1038.5
7778 Hardenberg;5;5;0;65;5;25;35;2.91;Hardenberg;;189.15
7779 Hardenberg;5;5;0;30;10;5;15;3;Hardenberg;;90
7781 Hardenberg;20;20;0;90;10;30;45;2.89;Hardenberg;;260.1
7782 Hardenberg;60;55;10;765;170;250;350;2.64;Hardenberg;;2019.6
7783 Hardenberg;175;135;40;1120;250;350;520;2.68;Hardenberg;;3001.6
7784 Hardenberg;20;20;0;170;20;50;100;3.14;Hardenberg;;533.8
7785 Hardenberg;0;0;0;10;0;5;5;3.67;Hardenberg;;36.7
7786 Hardenberg;15;10;0;65;10;20;35;3.14;Hardenberg;;204.1
7787 Hardenberg;10;10;0;65;10;20;35;3;Hardenberg;;195
7788 Hardenberg;0;0;0;65;20;20;25;2.48;Hardenberg;;161.2
7791 Hardenberg;50;50;5;225;35;60;130;3.01;Hardenberg;;677.25
7792 Hardenberg;10;5;5;40;5;15;20;2.85;Hardenberg;;114
7793 Hardenberg;15;15;0;145;20;40;80;2.95;Hardenberg;;427.75
7794 Hardenberg;20;15;5;100;15;30;50;3.2;Hardenberg;;320
7795 Hardenberg;0;5;0;50;5;20;25;2.88;Hardenberg;;144
7796 Hardenberg;10;10;0;110;20;40;45;2.87;Hardenberg;;315.7
7797 Hardenberg;25;20;5;215;40;55;115;2.88;Hardenberg;;619.2
7798 Hardenberg;15;10;0;120;25;40;60;2.99;Hardenberg;;358.8
7811 Emmen;265;215;50;2225;1090;905;230;1.66;Emmen;;3693.5
7812 Emmen;1600;875;725;4685;1710;1385;1590;2.17;Emmen;;10166.45
7814 Emmen;385;175;205;725;195;220;305;2.45;Emmen;;1776.25
7815 Emmen;690;335;350;2825;1200;905;715;1.92;Emmen;;5424
7821 Emmen;0;0;0;5;0;0;5;2.83;Emmen;;14.15
7822 Emmen;325;170;150;1460;595;520;345;1.98;Emmen;;2890.8
7823 Emmen;1450;935;515;3695;1305;1200;1190;2.15;Emmen;;7944.25
7824 Emmen;1820;685;1135;3875;1465;1290;1120;2.04;Emmen;;7905
7825 Emmen;35;30;0;140;30;70;45;2.38;Emmen;;333.2
7826 Emmen;210;165;40;1185;210;420;550;2.66;Emmen;;3152.1
7827 Emmen;875;630;245;3890;830;1190;1865;2.63;Emmen;;10230.7
7828 Emmen;245;160;80;805;105;285;420;2.79;Emmen;;2245.95
7831 Emmen;200;165;35;1420;320;465;635;2.53;Emmen;;3592.6
7833 Emmen;290;215;75;1925;470;685;770;2.43;Emmen;;4677.75
7841 Coevorden;90;75;15;955;235;360;360;2.42;Coevorden;;2311.1
7842 Coevorden;0;5;0;30;10;10;10;2.17;Coevorden;;65.1
7843 Coevorden;55;45;10;375;115;140;115;2.2;Coevorden;;825
7844 Emmen;115;95;15;960;260;340;360;2.36;Emmen;;2265.6
7845 Coevorden;15;10;5;95;20;30;40;2.57;Coevorden;;244.15
7846 Coevorden;15;15;5;220;45;85;85;2.49;Coevorden;;547.8
7847 Coevorden;15;10;5;95;15;45;45;2.62;Coevorden;;248.9
7848 Coevorden;115;90;30;935;250;330;355;2.36;Coevorden;;2206.6
7849 Coevorden;30;25;5;170;45;75;50;2.22;Coevorden;;377.4
7851 Coevorden;10;10;0;150;25;60;65;2.54;Coevorden;;381
7852 Coevorden;10;5;0;80;10;35;35;2.68;Coevorden;;214.4
7853 Coevorden;5;5;0;70;20;20;35;2.54;Coevorden;;177.8
7854 Coevorden;385;155;230;905;340;275;295;2.17;Coevorden;;1963.85
7855 Coevorden;25;20;5;160;30;70;65;2.69;Coevorden;;430.4
7856 Coevorden;5;5;0;70;5;30;30;2.77;Coevorden;;193.9
7858 Borger-Odoorn;10;5;0;50;10;20;20;2.39;Borger-Odoorn;;119.5
7859 Borger-Odoorn;0;0;5;10;0;10;5;2.75;Borger-Odoorn;;27.5
7861 Coevorden;100;75;25;815;215;330;270;2.33;Coevorden;;1898.95
7863 Coevorden;20;15;5;250;50;100;100;2.59;Coevorden;;647.5
7864 Coevorden;20;15;0;150;25;50;70;2.73;Coevorden;;409.5
7871 Borger-Odoorn;50;35;20;330;75;120;135;2.47;Borger-Odoorn;;815.1
7872 Borger-Odoorn;50;50;5;495;90;210;205;2.55;Borger-Odoorn;;1262.25
7873 Borger-Odoorn;70;65;10;775;195;320;260;2.3;Borger-Odoorn;;1782.5
7874 Borger-Odoorn;20;15;5;170;30;70;75;2.56;Borger-Odoorn;;435.2
7875 Borger-Odoorn;60;50;10;730;145;330;255;2.41;Borger-Odoorn;;1759.3
7876 Borger-Odoorn;185;140;45;1405;305;520;585;2.49;Borger-Odoorn;;3498.45
7877 Borger-Odoorn;5;0;0;40;5;15;20;2.69;Borger-Odoorn;;107.6
7881 Emmen;625;545;80;3290;785;1145;1355;2.47;Emmen;;8126.3
