"";"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"";"Onderwerpen";"Totaal personen in huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in institutionele huishoudens"
"";"Onderwerpen";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens"
"";"Onderwerpen";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Totaal samenwonende personen";"Partner in niet-gehuwd paar zonder ki...";"Partner in gehuwd paar zonder kinderen";"Partner in niet-gehuwd paar met kinderen";"Partner in gehuwd paar met kinderen";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Totaal samenwonende personen";"Partner in niet-gehuwd paar zonder ki...";"Partner in gehuwd paar zonder kinderen";"Partner in niet-gehuwd paar met kinderen";"Partner in gehuwd paar met kinderen";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens"
"Regio's";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Aalburg";"60 tot 65 jaar";"282";"281";"2";"21";"245";"5";"155";"1";"84";"5";"8";"1";"240";"239";"-";"22";"201";"5";"141";"-";"55";"11";"5";"1"
"Aalburg";"65 tot 70 jaar";"243";"240";"-";"27";"204";"2";"158";"-";"44";"3";"6";"3";"238";"235";"1";"46";"177";"1";"145";"-";"31";"7";"4";"3"
"Aalburg";"70 tot 75 jaar";"152";"150";"-";"22";"124";"2";"107";"-";"15";"-";"4";"2";"186";"179";"-";"61";"100";"2";"89";"-";"9";"9";"9";"7"
"Aalburg";"75 tot 80 jaar";"126";"121";"-";"17";"95";"-";"86";"-";"9";"3";"6";"5";"179";"174";"1";"84";"78";"1";"73";"1";"3";"7";"4";"5"
"Aalburg";"80 tot 85 jaar";"97";"93";"-";"24";"64";"1";"60";"-";"3";"-";"5";"4";"140";"118";"-";"74";"36";"-";"35";"-";"1";"3";"5";"22"
"Aalburg";"85 tot 90 jaar";"39";"32";"-";"10";"19";"-";"19";"-";"-";"1";"2";"7";"60";"44";"-";"30";"5";"-";"5";"-";"-";"5";"4";"16"
"Aalburg";"90 tot 95 jaar";"6";"5";"-";"2";"2";"-";"2";"-";"-";"-";"1";"1";"34";"16";"-";"12";"1";"-";"1";"-";"-";"2";"1";"18"
"Aalburg";"95 jaar of ouder";"2";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"8";"4";"-";"2";"-";"-";"-";"-";"-";"1";"1";"4"
"Aalsmeer";"Totaal leeftijden";"12024";"11953";"3758";"1278";"6657";"709";"2616";"423";"2909";"113";"147";"71";"12121";"11944";"3236";"1509";"6641";"671";"2624";"431";"2915";"421";"137";"177"
"Aalsmeer";"0 tot 5 jaar";"770";"770";"766";" ";" ";" ";" ";" ";" ";" ";"4";"-";"697";"697";"690";" ";" ";" ";" ";" ";" ";" ";"7";"-"
"Aalsmeer";"5 tot 10 jaar";"702";"702";"699";" ";" ";" ";" ";" ";" ";" ";"3";"-";"696";"696";"687";" ";" ";" ";" ";" ";" ";" ";"9";"-"
"Aalsmeer";"10 tot 15 jaar";"813";"811";"804";" ";" ";" ";" ";" ";" ";" ";"7";"2";"727";"727";"722";" ";" ";" ";" ";" ";" ";" ";"5";"-"
"Aalsmeer";"15 tot 20 jaar";"677";"670";"656";"8";"1";"1";"-";"-";"-";"-";"5";"7";"678";"677";"657";"14";"4";"4";"-";"-";"-";"-";"2";"1"
"Aalsmeer";"20 tot 25 jaar";"570";"564";"436";"68";"47";"34";"9";"2";"2";"-";"13";"6";"526";"523";"320";"51";"134";"93";"23";"8";"10";"4";"14";"3"
"Aalsmeer";"25 tot 30 jaar";"585";"584";"211";"134";"226";"140";"36";"25";"25";"-";"13";"1";"568";"563";"103";"82";"360";"160";"70";"39";"91";"12";"6";"5"
"Aalsmeer";"30 tot 35 jaar";"767";"758";"76";"146";"529";"142";"74";"93";"220";"2";"5";"9";"833";"828";"26";"81";"673";"126";"73";"121";"353";"39";"9";"5"
"Aalsmeer";"35 tot 40 jaar";"1005";"1002";"48";"159";"781";"106";"79";"122";"474";"5";"9";"3";"1011";"1007";"12";"73";"853";"68";"74";"134";"577";"64";"5";"4"
"Aalsmeer";"40 tot 45 jaar";"1047";"1045";"25";"140";"860";"72";"72";"90";"626";"11";"9";"2";"978";"974";"8";"47";"832";"45";"64";"78";"645";"78";"9";"4"
"Aalsmeer";"45 tot 50 jaar";"936";"934";"20";"112";"767";"57";"69";"54";"587";"23";"12";"2";"896";"892";"5";"60";"737";"50";"106";"26";"555";"81";"9";"4"
"Aalsmeer";"50 tot 55 jaar";"772";"770";"8";"85";"639";"39";"149";"19";"432";"32";"6";"2";"769";"766";"5";"61";"640";"32";"229";"18";"361";"53";"7";"3"
"Aalsmeer";"55 tot 60 jaar";"993";"988";"8";"91";"859";"39";"471";"11";"338";"18";"12";"5";"956";"954";"-";"119";"802";"33";"552";"3";"214";"24";"9";"2"
"Aalsmeer";"60 tot 65 jaar";"753";"749";"1";"72";"650";"29";"500";"3";"118";"12";"14";"4";"712";"711";"-";"98";"592";"22";"510";"3";"57";"14";"7";"1"
"Aalsmeer";"65 tot 70 jaar";"536";"536";"-";"65";"459";"23";"392";"3";"41";"3";"9";"-";"581";"581";"1";"157";"407";"13";"367";"-";"27";"9";"7";"-"
"Aalsmeer";"70 tot 75 jaar";"471";"471";"-";"69";"396";"15";"359";"-";"22";"1";"5";"-";"501";"496";"-";"174";"304";"10";"282";"1";"11";"14";"4";"5"
