Regionale kerncijfers Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking
Anna Paulowna;2006;14022;7080;6942;892;993;979;936;731;3950;3914;1296;331;6049;6682;690;601;12927;1095;720;375;7;74;54;15;225;14015.5;5525;1349;1841;2335;2.53
Apeldoorn;2006;156051;76639;79412;9239;9321;9520;9365;7966;43346;42872;18028;6394;67837;69177;9688;9349;132889;23162;12304;10858;744;1009;950;3963;4192;155807.5;66388;21534;21147;23707;2.3
Appingedam;2006;12291;5998;6293;658;671;665;672;635;3207;3457;1662;664;4971;5656;754;910;10812;1479;947;532;52;25;77;221;157;12239;5481;1747;1897;1837;2.21
Arcen en Velden;2006;8864;4443;4421;450;542;592;594;409;2268;2748;1019;242;3578;4444;373;469;7598;1266;1139;127;6;5;4;14;98;8822;3561;842;1274;1445;2.49
Arnhem;2006;142195;70245;71950;8353;7698;7203;7739;10962;48308;33805;12996;5131;75838;48139;11138;7080;101625;40570;16111;24459;2786;2076;3052;7762;8783;142382;70869;32682;18367;19820;1.97
Assen;2006;63383;30925;32458;4250;4186;4059;3802;3267;18548;16287;6479;2505;29541;26453;4030;3359;54655;8728;5173;3555;250;277;422;354;2252;63887;27108;9043;8231;9834;2.28
Asten;2006;16299;8287;8012;1019;1027;1173;1044;835;4349;4618;1762;472;7102;7813;600;784;15270;1029;625;404;109;9;36;8;242;16336.5;6266;1527;2071;2668;2.57
Baarle-Nassau;2006;6648;3388;3260;302;295;383;359;316;1654;2105;977;257;2580;3276;369;423;4955;1693;1603;90;5;5;7;6;67;6661;2827;860;990;977;2.31
Baarn;2006;24513;11728;12785;1375;1413;1422;1335;1099;6382;7071;3072;1344;10753;10432;1697;1631;20788;3725;2195;1530;189;129;113;410;689;24444;10710;3925;3268;3517;2.19
Barendrecht;2006;41249;20502;20747;3231;2962;2754;2482;1727;13075;10184;3694;1140;18026;19682;1923;1618;34930;6319;2817;3502;444;228;1313;572;945;42146.5;16010;3480;5288;7242;2.57
Barneveld;2006;50448;25114;25334;3816;4007;4009;4028;3328;13408;11664;4765;1423;23039;23545;1545;2319;46754;3694;2046;1648;213;39;110;672;614;50700.5;17878;4410;5230;8238;2.79
Bedum;2006;10675;5367;5308;653;682;804;761;497;2738;3126;1040;374;4729;5031;400;515;10113;562;418;144;5;16;20;3;100;10638;4151;1081;1357;1713;2.5
Beek (L.);2006;16926;8311;8615;788;1022;1047;1033;763;4291;5154;2260;568;6542;8403;901;1080;14596;2330;1790;540;165;29;23;46;277;16821.5;7194;2000;2467;2727;2.34
Beemster;2006;8515;4282;4233;484;572;604;505;405;2153;2534;977;281;3794;3938;364;419;7832;683;500;183;5;10;30;9;129;8495.5;3373;862;1142;1369;2.5
Beesel;2006;13521;6778;6743;799;845;814;802;697;3748;3917;1525;374;5513;6670;632;706;11407;2114;1483;631;355;34;14;72;156;13583.5;5457;1249;1921;2287;2.47
Bellingwedde;2006;9740;4901;4839;438;511;552;555;404;2379;3110;1327;464;3656;4830;540;714;8515;1225;857;368;1;6;26;11;324;9627;4299;1281;1574;1444;2.25
Bennebroek;2006;5131;2408;2723;252;305;334;257;132;1037;1498;949;367;1972;2425;348;386;4474;657;514;143;12;33;11;1;86;5143.5;2116;624;760;732;2.29
Bergambacht;2006;9398;4629;4769;655;653;618;626;507;2361;2559;1100;319;3884;4681;326;507;8787;611;369;242;103;11;8;2;118;9440;3646;879;1286;1481;2.57
Bergeijk;2006;18060;9160;8900;1065;1251;1221;1110;851;4822;5155;2129;456;7441;9072;661;886;16478;1582;1304;278;15;8;19;16;220;18077;6933;1541;2403;2989;2.6
Bergen (L.);2006;13612;6794;6818;714;879;908;855;605;3660;3971;1584;436;5637;6565;612;798;11428;2184;1932;252;26;6;20;6;194;13586.5;5371;1240;1845;2286;2.53
Bergen (NH.);2006;31505;15285;16220;1408;1754;1943;1734;1268;6890;10129;4627;1752;12972;14245;2155;2133;27934;3571;2851;720;15;57;95;12;541;31418.5;13658;4524;4518;4616;2.24
Bergen op Zoom;2006;65767;32476;33291;3641;3897;4045;3998;3356;18526;18372;7416;2516;27251;29973;4568;3975;51732;14035;5726;8309;2827;226;494;3175;1587;65603.5;28488;9129;9143;10216;2.28
Bergschenhoek;2006;16606;8269;8337;1563;1550;1253;882;533;5695;3640;1207;283;7681;7752;678;495;14276;2330;1184;1146;200;64;319;167;396;16650;5971;1116;1719;3136;2.75
Berkel en Rodenrijs;2006;19184;9601;9583;1321;1354;1243;1196;903;5632;5070;1934;531;8447;9003;895;839;16848;2336;1188;1148;252;83;287;64;462;20020;7467;1704;2580;3183;2.54
Berkelland;2006;45294;22821;22473;2726;2788;2906;2760;1934;11892;13053;5593;1642;18859;22053;1481;2901;41993;3301;2274;1027;147;59;57;216;548;45253.5;17734;4258;6276;7200;2.51
