"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Aalsmeer";"2006";"35 tot 40 jaar";"2016";"1005";"1011";"661";"385";"276";"1225";"560";"665";"3";"-";"3";"127";"60";"67";"0358"
"Aalsmeer";"2006";"40 tot 45 jaar";"2025";"1047";"978";"415";"262";"153";"1430";"708";"722";"8";"2";"6";"172";"75";"97";"0358"
"Aalsmeer";"2006";"45 tot 50 jaar";"1832";"936";"896";"270";"165";"105";"1346";"675";"671";"13";"5";"8";"203";"91";"112";"0358"
"Aalsmeer";"2006";"50 tot 55 jaar";"1541";"772";"769";"140";"85";"55";"1192";"592";"600";"34";"9";"25";"175";"86";"89";"0358"
"Aalsmeer";"2006";"55 tot 60 jaar";"1949";"993";"956";"108";"70";"38";"1611";"830";"781";"71";"16";"55";"159";"77";"82";"0358"
"Aalsmeer";"2006";"60 tot 65 jaar";"1465";"753";"712";"60";"44";"16";"1206";"630";"576";"89";"22";"67";"110";"57";"53";"0358"
"Aalsmeer";"2006";"65 tot 70 jaar";"1117";"536";"581";"46";"27";"19";"838";"439";"399";"143";"30";"113";"90";"40";"50";"0358"
"Aalsmeer";"2006";"70 tot 75 jaar";"972";"471";"501";"43";"24";"19";"680";"384";"296";"188";"34";"154";"61";"29";"32";"0358"
"Aalsmeer";"2006";"75 tot 80 jaar";"732";"338";"394";"26";"15";"11";"443";"260";"183";"221";"47";"174";"42";"16";"26";"0358"
"Aalsmeer";"2006";"80 tot 85 jaar";"517";"184";"333";"11";"3";"8";"229";"139";"90";"257";"36";"221";"20";"6";"14";"0358"
"Aalsmeer";"2006";"85 tot 90 jaar";"253";"76";"177";"7";"3";"4";"70";"44";"26";"168";"27";"141";"8";"2";"6";"0358"
"Aalsmeer";"2006";"90 tot 95 jaar";"91";"27";"64";"5";"2";"3";"15";"11";"4";"70";"14";"56";"1";"-";"1";"0358"
"Aalsmeer";"2006";"95 jaar of ouder";"26";"2";"24";"1";"-";"1";"3";"2";"1";"20";"-";"20";"2";"-";"2";"0358"
"Aalten";"2006";"Totaal leeftijden";"27476";"13738";"13738";"11986";"6567";"5419";"12861";"6423";"6438";"1762";"365";"1397";"867";"383";"484";"0197"
"Aalten";"2006";"Jonger dan 5 jaar";"1611";"832";"779";"1611";"832";"779";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0197"
"Aalten";"2006";"5 tot 10 jaar";"1753";"896";"857";"1753";"896";"857";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0197"
"Aalten";"2006";"10 tot 15 jaar";"1817";"905";"912";"1817";"905";"912";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0197"
"Aalten";"2006";"15 tot 20 jaar";"1711";"900";"811";"1711";"900";"811";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0197"
"Aalten";"2006";"20 tot 25 jaar";"1303";"706";"597";"1257";"695";"562";"46";"11";"35";"-";"-";"-";"-";"-";"-";"0197"
"Aalten";"2006";"25 tot 30 jaar";"1385";"674";"711";"1082";"590";"492";"299";"84";"215";"-";"-";"-";"4";"-";"4";"0197"
"Aalten";"2006";"30 tot 35 jaar";"1758";"914";"844";"828";"508";"320";"881";"385";"496";"2";"1";"1";"47";"20";"27";"0197"
"Aalten";"2006";"35 tot 40 jaar";"2137";"1110";"1027";"649";"424";"225";"1397";"650";"747";"10";"2";"8";"81";"34";"47";"0197"
"Aalten";"2006";"40 tot 45 jaar";"2241";"1171";"1070";"452";"299";"153";"1646";"807";"839";"13";"3";"10";"130";"62";"68";"0197"
"Aalten";"2006";"45 tot 50 jaar";"2081";"1066";"1015";"242";"163";"79";"1671";"841";"830";"23";"6";"17";"145";"56";"89";"0197"
"Aalten";"2006";"50 tot 55 jaar";"1902";"976";"926";"169";"118";"51";"1542";"778";"764";"56";"18";"38";"135";"62";"73";"0197"
"Aalten";"2006";"55 tot 60 jaar";"1946";"978";"968";"113";"72";"41";"1605";"807";"798";"89";"28";"61";"139";"71";"68";"0197"
"Aalten";"2006";"60 tot 65 jaar";"1521";"793";"728";"68";"47";"21";"1270";"673";"597";"112";"36";"76";"71";"37";"34";"0197"
"Aalten";"2006";"65 tot 70 jaar";"1241";"598";"643";"65";"38";"27";"956";"507";"449";"170";"33";"137";"50";"20";"30";"0197"
"Aalten";"2006";"70 tot 75 jaar";"1076";"473";"603";"65";"34";"31";"705";"385";"320";"278";"45";"233";"28";"9";"19";"0197"
"Aalten";"2006";"75 tot 80 jaar";"919";"378";"541";"37";"22";"15";"507";"284";"223";"354";"66";"288";"21";"6";"15";"0197"
"Aalten";"2006";"80 tot 85 jaar";"628";"227";"401";"44";"19";"25";"233";"144";"89";"341";"59";"282";"10";"5";"5";"0197"
"Aalten";"2006";"85 tot 90 jaar";"322";"106";"216";"17";"4";"13";"89";"57";"32";"210";"44";"166";"6";"1";"5";"0197"
"Aalten";"2006";"90 tot 95 jaar";"106";"31";"75";"5";"1";"4";"12";"9";"3";"89";"21";"68";"-";"-";"-";"0197"
"Aalten";"2006";"95 jaar of ouder";"18";"4";"14";"1";"-";"1";"2";"1";"1";"15";"3";"12";"-";"-";"-";"0197"
"Ter Aar";"2006";"Totaal leeftijden";"8988";"4565";"4423";"3967";"2167";"1800";"4296";"2149";"2147";"396";"90";"306";"329";"159";"170";"0480"
"Ter Aar";"2006";"Jonger dan 5 jaar";"479";"243";"236";"479";"243";"236";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0480"
"Ter Aar";"2006";"5 tot 10 jaar";"620";"310";"310";"620";"310";"310";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0480"
"Ter Aar";"2006";"10 tot 15 jaar";"677";"358";"319";"677";"358";"319";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0480"
"Ter Aar";"2006";"15 tot 20 jaar";"689";"357";"332";"689";"357";"332";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0480"
"Ter Aar";"2006";"20 tot 25 jaar";"524";"281";"243";"507";"277";"230";"17";"4";"13";"-";"-";"-";"-";"-";"-";"0480"
"Ter Aar";"2006";"25 tot 30 jaar";"410";"231";"179";"323";"202";"121";"86";"29";"57";"-";"-";"-";"1";"-";"1";"0480"
"Ter Aar";"2006";"30 tot 35 jaar";"469";"239";"230";"209";"135";"74";"247";"100";"147";"1";"-";"1";"12";"4";"8";"0480"
"Ter Aar";"2006";"35 tot 40 jaar";"650";"317";"333";"169";"102";"67";"444";"201";"243";"1";"-";"1";"36";"14";"22";"0480"
"Ter Aar";"2006";"40 tot 45 jaar";"734";"369";"365";"108";"68";"40";"562";"270";"292";"5";"1";"4";"59";"30";"29";"0480"
"Ter Aar";"2006";"45 tot 50 jaar";"762";"380";"382";"62";"43";"19";"629";"304";"325";"5";"2";"3";"66";"31";"35";"0480"
"Ter Aar";"2006";"50 tot 55 jaar";"670";"323";"347";"29";"15";"14";"576";"281";"295";"11";"2";"9";"54";"25";"29";"0480"
"Ter Aar";"2006";"55 tot 60 jaar";"686";"362";"324";"25";"23";"2";"591";"304";"287";"23";"9";"14";"47";"26";"21";"0480"
"Ter Aar";"2006";"60 tot 65 jaar";"518";"285";"233";"24";"10";"14";"430";"247";"183";"42";"14";"28";"22";"14";"8";"0480"
"Ter Aar";"2006";"65 tot 70 jaar";"401";"206";"195";"12";"9";"3";"330";"180";"150";"42";"10";"32";"17";"7";"10";"0480"
"Ter Aar";"2006";"70 tot 75 jaar";"269";"137";"132";"11";"6";"5";"190";"114";"76";"60";"13";"47";"8";"4";"4";"0480"
"Ter Aar";"2006";"75 tot 80 jaar";"194";"78";"116";"7";"2";"5";"112";"61";"51";"71";"12";"59";"4";"3";"1";"0480"
"Ter Aar";"2006";"80 tot 85 jaar";"142";"66";"76";"7";"5";"2";"63";"43";"20";"69";"17";"52";"3";"1";"2";"0480"
"Ter Aar";"2006";"85 tot 90 jaar";"64";"18";"46";"5";"1";"4";"17";"9";"8";"42";"8";"34";"-";"-";"-";"0480"
"Ter Aar";"2006";"90 tot 95 jaar";"25";"5";"20";"2";"1";"1";"2";"2";"-";"21";"2";"19";"-";"-";"-";"0480"
"Ter Aar";"2006";"95 jaar of ouder";"5";"-";"5";"2";"-";"2";"-";"-";"-";"3";"-";"3";"-";"-";"-";"0480"
