"Bevolking op 1 januari; leeftijd, geboorteland en regio"
"";"Perioden";"2006";"2006";"2006";"2006"
"";"Onderwerpen";"Mannen";"Mannen";"Vrouwen";"Vrouwen"
"";"Geboorteland";"Totaal buitenland";"Nederland";"Totaal buitenland";"Nederland"
"Regio's";"Leeftijd";"aantal";"aantal";"aantal";"aantal"
"Anna Paulowna";"45 tot 65 jaar";"73";"1917";"93";"1831"
"Anna Paulowna";"65 jaar of ouder";"26";"739";"37";"825"
"Apeldoorn";"0 tot 15 jaar";"471";"13975";"445";"13189"
"Apeldoorn";"15 tot 30 jaar";"1186";"11999";"1083";"11597"
"Apeldoorn";"30 tot 45 jaar";"2004";"15569";"2040";"15199"
"Apeldoorn";"45 tot 65 jaar";"1658";"19651";"1764";"19799"
"Apeldoorn";"65 jaar of ouder";"671";"9455";"996";"13300"
"Appingedam";"0 tot 15 jaar";"22";"1023";"21";"928"
"Appingedam";"15 tot 30 jaar";"76";"913";"68";"898"
"Appingedam";"30 tot 45 jaar";"119";"1163";"103";"1174"
"Appingedam";"45 tot 65 jaar";"97";"1633";"112";"1615"
"Appingedam";"65 jaar of ouder";"47";"905";"78";"1296"
"Arcen en Velden";"0 tot 15 jaar";"19";"774";"26";"765"
"Arcen en Velden";"15 tot 30 jaar";"39";"661";"61";"605"
"Arcen en Velden";"30 tot 45 jaar";"51";"909";"83";"862"
"Arcen en Velden";"45 tot 65 jaar";"94";"1320";"74";"1260"
"Arcen en Velden";"65 jaar of ouder";"30";"546";"39";"646"
"Arnhem";"0 tot 15 jaar";"530";"11413";"559";"10752"
"Arnhem";"15 tot 30 jaar";"2976";"12608";"3074";"12609"
"Arnhem";"30 tot 45 jaar";"4099";"14465";"3760";"13418"
"Arnhem";"45 tot 65 jaar";"2790";"14075";"2820";"14120"
"Arnhem";"65 jaar of ouder";"947";"6342";"1197";"9641"
"Assen";"0 tot 15 jaar";"259";"6066";"252";"5918"
"Assen";"15 tot 30 jaar";"527";"4853";"503";"4864"
"Assen";"30 tot 45 jaar";"748";"6682";"736";"6704"
"Assen";"45 tot 65 jaar";"679";"7370";"589";"7649"
"Assen";"65 jaar of ouder";"177";"3564";"301";"4942"
"Asten";"0 tot 15 jaar";"40";"1633";"25";"1521"
"Asten";"15 tot 30 jaar";"40";"1354";"62";"1194"
"Asten";"30 tot 45 jaar";"86";"1730";"104";"1658"
"Asten";"45 tot 65 jaar";"68";"2358";"62";"2130"
"Asten";"65 jaar of ouder";"16";"962";"25";"1231"
"Baarle-Nassau";"0 tot 15 jaar";"40";"465";"34";"441"
"Baarle-Nassau";"15 tot 30 jaar";"53";"485";"49";"423"
"Baarle-Nassau";"30 tot 45 jaar";"87";"596";"117";"519"
"Baarle-Nassau";"45 tot 65 jaar";"106";"984";"173";"842"
"Baarle-Nassau";"65 jaar of ouder";"44";"528";"81";"581"
"Baarn";"0 tot 15 jaar";"78";"2074";"66";"1992"
"Baarn";"15 tot 30 jaar";"176";"1658";"188";"1519"
"Baarn";"30 tot 45 jaar";"268";"2317";"287";"2403"
"Baarn";"45 tot 65 jaar";"268";"3144";"313";"3346"
"Baarn";"65 jaar of ouder";"109";"1636";"182";"2489"
"Barendrecht";"0 tot 15 jaar";"91";"4583";"78";"4195"
"Barendrecht";"15 tot 30 jaar";"177";"2932";"244";"2822"
"Barendrecht";"30 tot 45 jaar";"624";"4813";"732";"4940"
"Barendrecht";"45 tot 65 jaar";"393";"4747";"384";"4660"
"Barendrecht";"65 jaar of ouder";"94";"2048";"126";"2566"
"Barneveld";"0 tot 15 jaar";"113";"5998";"104";"5617"
"Barneveld";"15 tot 30 jaar";"208";"4945";"253";"4759"
"Barneveld";"30 tot 45 jaar";"300";"4984";"277";"5038"
"Barneveld";"45 tot 65 jaar";"270";"5636";"312";"5446"
"Barneveld";"65 jaar of ouder";"113";"2547";"142";"3386"
"Bedum";"0 tot 15 jaar";"22";"1084";"20";"1013"
"Bedum";"15 tot 30 jaar";"20";"923";"22";"748"
"Bedum";"30 tot 45 jaar";"26";"1078";"32";"1147"
"Bedum";"45 tot 65 jaar";"41";"1564";"43";"1478"
"Bedum";"65 jaar of ouder";"8";"601";"19";"786"
"Beek (L.)";"0 tot 15 jaar";"18";"1369";"33";"1437"
"Beek (L.)";"15 tot 30 jaar";"86";"1247";"78";"1090"
